姓名,國文,英文,數學,社會,地理
楊建安,60,100,74,73,50
周芷蓁,65,92,68,69,53
李蓉瑞,66,53,83,50,74
柯宜臻,56,50,92,74,100
蔡孟泉,50,96,64,50,62
昌嘉洋,78,83,76,98,56
錢佩豪,50,74,96,55,87
李慶亮,68,56,92,54,82
郭致恬,76,92,54,92,64
林志成,87,55,92,52,84
楊韋廷,82,69,82,54,53
張凡成,89,97,59,94,92
周琬婷,57,87,81,71,64
陳逸華,90,68,59,73,93
許芳如,84,71,53,77,75
潘俊賢,64,54,68,69,77
馮淑芬,78,94,70,84,89
黃婷婷,53,87,76,84,80
陳建豪,78,63,66,60,61
郭舜昇,84,89,72,55,73
林世城,81,100,52,90,53
王展人,99,87,96,89,87
朱惠儀,57,60,87,94,78
林義皓,81,53,55,58,76
林瑞喬,77,53,99,51,98
